SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
8,15.1,228.8,9.6,92.5
10,16.7,279.6,6.9,47.6
20,23.1,535,23.8,566.9
8,22.3,498.6,7.9,63.2
8,22.4,503.1,6.1,37.5
15,20.1,403.8,24,576
13,27.3,745,9.8,95.7
15,20.5,418.2,2.4,5.7
1,21.7,472.8,13,168.7
9,17.4,302.9,7.4,54.1
21,23.6,554.8,11,121
13,15.6,241.8,10.8,116
1,18.9,357.2,10.4,107.9
13,15.3,234.4,12.3,151.5
7,23,527.6,7.5,57
22,29,840.1,15.8,249.1
27,32.7,1070.9,12.2,149.2
4,21.4,456.2,9.3,86.5
1,15.8,250.4,0,0
24,30,902.7,15.9,252
29,22,482.2,25,625
17,22,482.2,12.8,164.4
12,20.4,414.1,6.1,37.2
9,18.3,335.1,2.6,6.9
18,27,729.3,15,225
15,26.7,712.4,18.9,357.9
7,16,257,6.1,36.7
31,34,1155.3,27.5,756.3
31,21.4,457.5,20.5,418.4
10,22.3,496.4,6.8,46.5
30,22.1,489.1,26.1,681.8
29,32.4,1052.4,18.8,352.1
8,17.2,296.9,14.9,221.4
3,16.4,267.6,10,100
26,19.4,376,26.3,690.9
15,16.1,258.6,11.9,140.8
1,21.1,444.4,2,4.2
37,25.7,660.7,23.5,552.3
7,21.6,465.5,8.3,69.4
17,19.9,395.4,8.8,77.3
10,31.6,996.3,19,362.8
15,22.3,496.4,9.4,89
9,15.5,239.2,9.5,90.7
12,22.2,490.6,12.5,156.3
2,13.9,192,3.8,14.2
25,29.7,883.6,19.1,364.2
10,24.3,592.4,14.9,220.6
23,32.6,1065,18.2,330.6
12,21.5,461.2,11.2,126
18,21.5,462.7,13.3,177.8
11,20.4,415.1,11.2,126.2
9,20.4,415.1,11.2,126.2
32,41.1,1692.9,20,400
20,36.1,1306.5,16,256.4
24,38.1,1455,15,225.4
22,41.1,1692.9,14,196.4
14,22.6,511,6.6,43.5
12,18.1,328,7.7,59.2
8,22.1,489.7,0,0
31,31.6,1001.1,20,400
12,24.4,595.6,9,81.2
10,23.2,536.6,5.6,31.6
39,29.8,889.5,29,841
4,23.5,554.4,9.3,87.3
1,18.1,327.1,11.3,127.5
20,15.9,253,12.3,151.5
8,21.1,445.8,12.1,145.9
7,13.3,177.7,2.8,7.9
11,14.5,209.8,10,100
9,24.4,593.7,5.1,25.5
10,21.1,445.2,5.9,34.6
12,21.1,444.2,26.3,689.1
12,23.3,542.4,3.4,11.5
8,18.5,341.5,3.2,10
29,23.3,543.1,28.2,794.8
14,20.1,404.8,13,170.1
9,22.7,513.2,7.4,54.9
12,21.9,477.6,10.1,102.5
9,20.9,438.5,13.2,173.1
30,25.2,636.6,18.8,353.2
20,21.4,455.8,11.4,129.1
12,24.8,616.8,14.5,209
19,22.7,517.1,6.7,44.4
16,27.4,748.8,11,121
28,22,486,15.6,244.1
18,23.1,533.8,2.1,4.3
21,25.6,657.2,13.7,186.3
1,23.3,543.4,6.5,42.5
39,29.5,872.3,31,961
14,25.7,659.5,6.7,44.4
15,12,144,6.9,47.6
14,22.2,494.6,8.1,65.7
11,25.6,654.1,8.3,69.4
2,17.4,301.5,2.8,7.9
15,29.1,845.9,7.1,50.1
11,23.1,533.4,6.1,36.7
12,20.1,405.8,9.2,84.6
9,16.1,259.7,5.2,27
17,19.4,375.2,1.3,1.6
8,20.2,408.2,6.7,45.4
5,21.2,447.3,0,0
1,21.2,447.3,0,0
6,24.2,586.1,12.3,151.3
15,15.1,228.8,9.6,92.5
15,27.1,735.5,13.5,181.2
12,24,577.2,10.7,114.8
29,26.7,711.6,17.4,303
12,25.5,649.5,16.5,272.7
11,25.5,649.5,16.5,272.7
8,15.9,253.4,7,49.6
7,15.9,253.4,7,49.6
10,18.2,331.2,2.4,5.9
10,19.7,389.7,10.5,110.8
16,19.5,381.6,10.4,107.9
10,20.5,418.2,2.4,5.7
7,21.7,472.8,13,168.7
19,24.3,592.2,20.8,431.8
18,13.9,193.8,21.7,472.6
15,15.8,248.5,9.8,96.4
7,20.6,422.5,8.4,71.1
14,19.7,387.3,19.4,374.6
7,23.2,539.4,7.7,59.9
11,20.8,430.8,14.1,199.7
17,23.6,556.7,7.3,53.2
19,16,257.4,29,841
36,27,727.9,22,484
6,21.6,465.7,15.9,253.1
15,21.6,465.7,15.9,253.1
2,22,482.2,17.8,317.6
10,8.7,75.5,7.3,53.5
16,18.3,335.1,2.6,6.9
14,14.6,211.8,14.5,211.6
8,26.7,712.4,18.9,357.9
12,22,484.7,11.2,125.8
9,18.8,351.9,5.4,29.2
10,20.9,438.7,11.5,133.1
35,23.1,534.1,30,900
8,22.1,487.3,10.8,115.6
7,15,225.5,14.5,211.6
31,22.7,516.9,20,400
10,14.5,209.5,6.3,40.3
9,21.5,462.3,8.9,78.5
11,13.8,190.9,8.7,75.6
27,19.4,376,30.3,917.2
23,23.2,539.4,25.3,639.5
16,19.9,395.4,8.8,77.3
12,19.9,395.4,8.8,77.3
1,19,362.5,6.3,40.1
1,19.9,396,2.3,5.4
13,20.2,409.9,4.1,17
12,28.5,810,12.1,147.6
19,21.9,477.6,11,121
19,34.5,1191.6,22.1,490.5
19,27.5,755.7,19.6,384.5
13,27.6,759.8,11.1,123.5
14,14.9,220.8,3.1,9.5
14,22.3,495.7,1.1,1.2
11,28.9,833.2,23.2,536.3
9,21.7,469.6,10.8,117.6
9,22.1,490,13.5,181.8
11,23.3,542.9,6.9,47.6
1,20.3,412.1,12.2,148.2
10,19.9,394,6.2,38.1
8,19.9,394,6.2,38.1
10,16.9,287,2.8,7.9
11,24.4,597.6,16,254.6
15,28,786.2,9.9,98
8,20.4,415.3,13.6,186
19,21.5,461.2,11.2,126
8,26.4,697.5,4.8,22.7
23,34.9,1220.1,14.9,222.8
15,18.7,349.5,16.4,270.2
21,22.8,519.6,15.7,245.9
11,26.7,714.5,7.2,52.1
7,21.2,448.4,2.8,7.9
8,19.7,386.5,12.3,152
22,30.3,920.5,25,625
13,24.6,604.9,6.4,40.5
16,11.6,134.9,0,0
33,25.7,660.5,29,841
8,24.8,616.5,18.7,349
19,25.9,672.6,9.7,94.3
29,22.1,489.5,29.6,876.6
4,22.3,498.9,16.5,271.3
35,27.3,745.8,19.6,384.8
4,24.1,581.3,11.8,139.9
24,27.3,745.8,9.6,92.5
12,24.9,619,11,121
17,28.8,829.2,14.9,221.3
25,21.1,444.2,26.3,689.1
7,19.6,383.6,9.5,89.5
20,17.3,298.9,2.7,7.1
18,22,482.2,5.1,26.3
12,22,482.2,5.1,26.3
13,22.1,486.9,13.5,181.8
14,25.2,635.8,5.5,30.3
13,28,782.3,9.4,88.4
36,25,623,29.1,849.3
15,16.2,262,5.8,33.6
15,16.8,281.1,11,120.5
9,25.4,646.4,9.4,87.9
19,19.7,389.3,20,400
15,21.6,467,14.6,214.2
11,25.2,636.6,13.8,190.2
10,15.9,251.7,6.8,45.7
19,23.1,533.8,29,841
13,17.1,293.6,14.5,209
9,20.6,423.5,14,194.7
19,23.1,533.8,2.1,4.3
9,25.6,657.2,11.7,135.7
19,28.5,810,17.5,307.9
16,16.8,280.9,8.3,69.4
26,19.6,384.4,29,841
14,19.6,384.4,9.7,94.3
28,29.5,872.3,19,362.8
12,21.6,464.8,7.7,59.2
10,21.6,464.8,7.7,59.2
11,21.8,476.8,5.7,32.7
28,24.3,591.5,22,484
10,15.8,248.5,9,80.2
11,19.7,389.7,2.9,8.7
10,26.2,684.6,17.2,296
7,18.3,335.6,8.1,65.7
16,17.6,308,6.5,41.6
19,18.3,334.9,24,576
16,22.7,516.7,10.6,112.1
16,27.7,764.8,1.7,2.8
22,19.4,375.2,21.3,452.2
12,27.5,758.5,6.1,37.5
7,20.2,408.4,6.8,46.5
11,19.5,379.9,4,16
16,27.1,735.5,13.5,181.2
11,24,577.2,10.7,114.8
18,27.6,762.3,15.7,246.1
7,11,120,11.4,129.1
11,23.1,535,23.8,566.9
2,19.4,376.4,17.8,317.1
21,23.2,540.3,8.1,65.3
2,20.6,423.5,3.9,15.4
4,18.7,347.8,0,0
21,24.2,586.4,17.8,315.7
29,30.7,945.3,28.9,834.6
10,22.3,496,11.5,132.1
12,25.2,633.8,10.1,102.5
12,25.2,633.8,10.1,102.5
12,21.6,466.6,5.4,29.2
15,13.5,181.7,0,0
16,19.7,387.3,19.4,374.6
13,17.8,317.4,7.1,49.8
9,11.6,135,19,362.8
11,16.1,259.9,6.5,41.6
9,14.5,210.3,9.1,82.6
10,16.6,274.4,10.2,103.4
2,19.6,385.1,9.9,97.5
14,18.1,327.6,8.3,69.4
23,32,1021.4,17.8,317.6
10,22.1,488.9,10.8,116
12,24.1,578.4,7,48.7
11,17,290.4,9.9,97.2
11,24.3,589,17.3,299.6
12,21.3,453.3,13.7,187.7
12,21.3,453.3,13.7,187.7
11,18.3,335.1,2.6,6.9
8,27,729.3,4.2,17.7
7,21.4,457.5,20.5,418.4
9,20.9,438.7,11.5,133.1
18,21.8,474.6,8.8,76.6
13,22.1,487.3,10.8,115.6
10,14.3,205.8,10,100
11,23.4,545.2,8.7,75.6
10,16.4,270.3,11.8,138.4
14,18.1,327.6,6,35.4
11,21.1,443.1,5.3,27.7
11,23.6,558.6,8.1,65.3
28,31.1,968.1,19.1,365.5
12,24.5,598.8,6,36
14,25.3,638.6,25.8,667.8
17,20.3,412.7,13,168.7
16,20.4,414.1,9.6,91.9
14,19.9,395.4,8.8,77.3
9,22.7,514.8,14.9,223.3
11,14.2,202.2,7.4,54.9
9,13.4,178.2,3.1,9.8
13,26.1,681.2,13.8,189.4
13,30.4,921.1,9.8,96.7
10,21.1,446.7,3.2,10.2
6,16.8,281.9,2.8,7.9
18,22.2,490.6,12.5,156.3
6,13.9,192,3.8,14.2
19,29.5,868.5,24,576
14,16,257.3,8.3,69.4
20,20.3,412.1,12.2,148.2
15,14.2,202.6,5.6,31.7
9,16.9,287,2.8,7.9
15,24.4,597.6,16,254.6
16,24,576.2,8.8,77.9
14,20.5,421.7,8.7,75.6
9,18.9,358.5,6.9,48.2
11,26.8,719,14.4,207.8
7,26.8,719,14.4,207.8
11,15.1,227.9,17.9,320.8
12,21.7,470.7,16.9,284.5
10,26.7,711.3,9.8,96.1
5,21.9,478.7,7.1,50
11,17.1,291.2,11,120.1
20,19,359.9,12.7,161.1
12,24.5,598,12.7,160.2
7,26.4,697.5,5.1,25.9
8,25.2,636,7.8,61.5
17,28.4,807.7,9.6,91.5
15,27.8,770.3,4.4,19.8
11,20.2,406.8,4.3,18.5
12,19.9,396.6,6.3,39.1
8,17.3,300,6,35.4
12,25.2,635.8,5.5,30.3
12,26,676,6.7,44.4
12,16.5,273.6,21.3,454.2
32,25.2,636.6,18.8,353.2
11,17.8,316.7,19.2,367.8
8,17.8,316.7,19.2,367.8
14,23.7,561,15.7,247.4
9,27.4,748.8,11,121
24,23.1,533.8,24.1,579
29,26.1,683,20,400
10,20.6,423.5,14,194.7
10,23.1,533.8,2.1,4.3
9,23.1,533.8,2.1,4.3
10,31.3,977.5,10.3,106.3
15,22.3,497.7,9.3,86.5
16,18.3,335.1,6.9,48.2
20,32.4,1050.1,25,625
13,24.9,621.5,7.5,57
8,21.8,475.7,12.8,163
17,26.5,703.6,6.9,47.9
13,23.3,543.4,6.5,42.5
8,23.5,553,5.4,29.5
28,29.5,872.3,19,362.8
11,21.6,464.8,7.7,59.2
29,24.3,591.5,20,400
10,22.4,501.3,12.9,167.5
26,29.1,845.9,15.1,227.4
11,20.1,405.8,9.2,84.6
13,23.9,571,13.2,173.9
12,23.9,571,13.2,173.9
6,21.1,443.9,8.4,71.1
20,15.5,239.8,2.8,7.9
13,20.5,418.2,13.2,173.1
8,20.5,418.2,13.2,173.1
5,24.6,604.9,14.6,214.2
19,27.1,735.5,14,196
9,24,577.2,10.7,114.8
19,27.6,762.3,19,361
12,20.5,418.2,16,257.6
17,27.6,762.3,15.7,246.1
11,23.3,540.6,14.3,204.1
5,17.6,309.9,7.3,53.5
6,18.2,331.2,2.4,5.9
6,18.6,347.6,5.1,25.6
11,25.2,636,7.4,54.9
8,16.7,279.1,6.6,43
8,14.8,217.6,17.9,318.9
9,19.3,370.8,4.5,20.2
12,19.2,368.1,13.3,177.8
13,21.1,444.4,11.7,136.6
17,24.6,606.1,8,64.7
15,21.9,480.3,2.4,5.8
2,22.3,498.2,10.9,118.1
6,20.7,429.7,11.1,123.5
22,17,290.2,19,362.8
1,16.1,259.9,6.5,41.6
8,15,225,11.1,123.5
8,20.9,435.1,10.1,102.3
12,22.8,521.2,9.9,97.8
22,22,482.2,20,400
8,13.1,171.6,2.9,8.2
30,26.4,694.8,15.3,234.2
11,26.5,704.6,10.6,111.9
12,15.6,242,1.4,1.9
12,17.2,295.3,14.9,222.8
34,26.7,712.4,24,576
8,20.6,423.9,10.3,105.2
15,22.4,502.7,12.1,146.1
6,19.5,379.3,2.4,5.5
7,20.8,430.8,9.6,92.9
12,22.3,495.3,12.8,163.6
13,20.9,438.7,11.5,133.1
8,20.9,438.7,11.5,133.1
9,23.7,560.7,8.5,72.4
8,22.3,496.4,6.8,46.5
1,19.3,371.3,2.3,5.4
17,19.2,370,17.4,302.5
23,22.7,516.9,25.4,642.7
18,17.2,296.9,14.9,221.4
12,14.5,209.5,6.3,40.3
9,20,399,8.7,75.6
11,9.1,81.9,15,225
9,23.8,566.7,8.1,65.3
20,23.3,540.8,8.2,68
11,23.7,561.9,6.5,41.6
8,20.7,429.5,10.4,107.9
