SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
14,15.1,228.8,9.6,92.5
17,23.2,540.3,8.1,65.3
11,18.7,350.6,5.7,32.7
9,20.2,406.4,9.6,92.9
26,20.1,402.8,15.9,254.1
24,20.1,403.8,18.1,326.0
33,27.6,761.5,23.0,529.0
29,27.6,761.5,21.8,474.5
6,15.5,239.8,6.3,40.3
15,28.3,801.7,12.7,161.6
8,21.1,443.3,8.0,64.0
12,15.6,241.8,10.8,116.0
19,19.8,393.4,2.5,6.1
10,18.4,339.3,2.9,8.2
15,22.3,495.3,12.8,163.6
10,20.9,438.7,11.5,133.1
8,25.1,627.5,8.3,69.4
28,19.5,381.2,8.6,73.5
5,19.9,396.2,4.2,17.4
9,24.6,603.4,9.7,93.7
14,22.1,488.9,13.2,174.9
13,24.2,586.9,3.1,9.8
15,17.3,298.8,6.4,41.1
8,19.6,383.6,5.6,30.9
8,15.5,239.2,9.5,90.7
12,16.9,285.8,1.2,1.4
30,20.3,412.1,26.2,685.0
15,24.5,600.3,5.7,32.0
28,18.1,327.1,11.3,127.5
26,31.4,984.4,17.3,298.3
19,22.8,521.7,5.2,26.6
16,21.8,476.1,3.1,9.8
21,18.9,355.5,6.4,41.1
16,17.2,296.7,2.4,5.8
10,19.5,379.1,4.6,21.1
12,12.6,158.3,15.8,249.3
14,19.5,379.9,4.0,16.0
24,19.8,390.3,22.0,484.0
29,24.0,577.2,11.0,121.0
30,35.0,1225.0,20.0,400.0
8,16.7,278.1,11.0,121.0
18,25.4,643.4,9.9,97.5
27,30.6,933.3,22.0,484.0
20,20.6,422.3,14.0,196.0
12,23.5,552.7,12.0,145.2
8,18.0,324.7,11.8,138.4
17,23.5,553.9,13.1,171.5
16,23.5,553.9,13.1,171.5
32,19.1,364.6,25.0,625.0
11,14.7,217.4,4.8,23.4
20,21.4,459.2,8.9,79.2
12,21.4,459.2,2.5,6.3
9,16.7,279.1,6.6,43.0
7,21.4,459.2,4.9,23.8
6,16.7,279.1,6.6,43.0
10,20.7,430.4,9.9,97.5
11,15.6,243.5,6.2,37.9
15,21.7,471.3,4.9,23.8
8,18.4,336.9,2.4,5.5
20,20.6,423.7,4.0,16.0
1,18.6,347.3,9.6,91.9
39,25.9,670.6,29.0,841.0
19,20.6,424.6,10.8,115.6
26,21.4,456.0,18.0,324.0
12,21.4,456.0,2.1,4.3
10,20.6,423.5,10.1,102.3
38,37.0,1369.0,36.0,1296.0
10,20.6,424.4,13.9,192.9
1,10.4,107.1,6.1,37.2
15,15.6,244.1,2.6,6.7
13,22.4,500.0,13.0,170.1
3,17.0,288.8,4.0,16.0
13,19.4,377.5,2.0,4.0
19,17.4,301.0,7.9,63.0
1,18.8,353.6,4.5,20.2
11,19.7,386.7,13.7,187.7
32,26.5,704.6,10.6,111.9
10,20.6,423.9,10.3,105.2
1,20.6,423.9,4.0,16.0
33,22.9,525.8,30.0,900.0
18,25.7,661.3,10.8,115.6
20,20.4,416.8,2.0,4.0
2,11.2,124.3,5.3,27.7
21,26.2,688.0,4.0,16.0
12,17.2,296.9,2.0,4.0
4,17.2,296.9,4.9,23.8
29,23.6,558.6,32.0,1024.0
30,38.0,1444.0,28.9,832.9
18,23.8,566.7,8.1,65.3
39,26.9,725.0,30.0,900.0
35,26.9,725.0,25.0,625.0
30,26.9,725.0,29.0,841.0
15,20.4,414.1,9.6,91.9
9,15.8,248.9,7.1,51.0
35,25.5,649.0,20.0,400.0
21,19.5,380.1,12.3,152.4
3,18.3,333.4,2.1,4.5
20,23.6,555.5,3.4,11.5
25,23.8,567.2,16.3,265.8
11,21.8,474.8,4.0,16.0
6,21.7,469.6,14.8,220.3
28,20.6,424.6,12.7,160.2
20,39.0,1521.0,3.8,14.2
39,26.2,686.7,22.0,484.0
39,29.5,868.5,30.0,900.0
14,20.2,406.4,7.7,59.2
1,15.7,246.8,3.8,14.2
20,20.3,411.9,7.8,60.5
8,13.2,173.2,16.7,277.8
1,13.3,177.8,6.8,46.0
38,34.0,1156.0,20.3,412.5
38,21.0,440.0,20.3,412.5
31,18.8,352.1,15.1,228.5
30,18.8,352.1,15.1,228.5
29,35.0,1225.0,15.1,228.5
28,32.0,1024.0,15.1,228.5
28,18.8,352.1,15.1,228.5
25,37.0,1369.0,15.1,228.5
38,29.7,883.6,20.0,400.0
37,26.5,700.4,30.0,900.0
35,29.7,883.6,13.1,171.2
29,29.7,883.6,22.0,484.0
22,29.7,883.6,13.1,171.2
25,19.3,373.3,8.5,71.4
23,19.3,373.3,8.5,71.4
12,17.7,311.9,4.2,17.9
20,21.5,461.2,11.2,126.0
12,21.5,461.2,11.2,126.0
32,30.3,915.4,24.9,618.9
29,30.3,915.4,24.9,618.9
23,30.3,915.4,24.9,618.9
10,18.7,349.5,3.7,13.4
15,21.5,462.7,13.3,177.8
16,23.0,530.8,11.1,123.5
39,24.4,595.6,29.0,841.5
34,24.4,595.6,19.0,361.3
11,24.4,595.6,11.0,121.0
25,44.0,1936.0,17.3,298.3
10,20.1,403.2,1.0,1.0
11,20.5,420.9,9.0,80.5
22,24.4,595.8,22.1,487.4
22,21.7,468.7,10.0,100.0
20,22.4,500.9,2.0,4.0
38,24.4,597.6,32.6,1062.9
22,15.9,253.0,12.3,151.5
19,15.9,253.0,12.3,151.5
17,15.9,253.0,12.3,151.5
16,15.9,253.0,12.3,151.5
15,15.9,253.0,12.3,151.5
37,28.4,807.7,29.6,874.1
29,28.4,807.7,9.6,91.5
32,27.3,745.8,19.6,384.8
29,27.3,745.8,19.6,384.8
38,28.0,784.0,34.0,1156.0
16,28.0,784.0,7.7,59.2
29,37.0,1369.0,24.4,597.5
31,23.9,572.2,8.5,72.4
30,21.7,469.4,34.0,1156.0
30,21.7,469.4,22.0,484.0
14,21.8,475.2,4.0,16.0
14,23.3,542.4,3.4,11.5
11,23.3,542.4,3.4,11.5
17,18.5,341.5,3.2,10.0
9,17.1,293.8,6.5,42.2
12,21.1,443.3,9.2,84.6
38,35.0,1225.0,31.8,1009.3
14,21.7,472.8,5.7,32.3
14,21.7,472.8,5.7,32.3
11,21.7,472.8,5.7,32.3
19,21.6,465.0,10.0,100.0
16,21.6,465.0,10.0,100.0
34,26.0,676.0,30.5,931.9
27,25.8,667.2,10.5,110.8
24,34.0,1156.0,11.0,121.0
16,25.8,667.2,10.5,110.8
14,25.8,667.2,10.5,110.8
2,9.8,96.6,4.5,20.5
18,27.4,750.5,7.6,57.2
15,19.0,361.2,11.0,120.5
12,19.0,361.2,11.0,120.5
14,18.1,328.5,4.6,21.1
18,25.0,627.0,10.2,104.1
30,25.7,662.8,34.0,1156.0
20,18.3,335.1,6.9,48.2
19,18.3,335.1,6.9,48.2
11,18.3,335.1,6.9,48.2
10,18.3,335.1,6.9,48.2
33,19.2,367.9,10.5,110.8
22,21.7,468.7,6.0,36.3
15,23.5,553.0,5.4,29.5
12,24.3,591.9,7.1,50.0
35,23.1,534.5,15.2,229.7
31,23.1,534.5,15.2,229.7
20,19.7,389.7,2.9,8.7
39,39.1,1529.6,33.4,1117.8
19,25.5,651.8,12.0,144.0
14,25.5,651.8,11.0,121.0
20,32.8,1074.2,15.9,253.6
15,25.2,633.8,10.1,102.5
10,25.2,633.8,10.1,102.5
15,23.9,570.3,12.8,164.4
11,23.9,570.3,12.8,164.4
17,24.1,578.4,7.0,48.7
35,35.0,1225.0,26.1,679.2
15,19.8,391.1,4.9,24.4
12,14.8,218.0,6.2,37.9
12,24.1,579.4,6.1,37.5
15,22.5,507.2,5.6,31.6
25,21.1,443.1,25.3,638.2
19,17.6,309.4,12.8,163.3
8,21.8,473.5,7.9,61.9
11,19.6,384.2,7.7,59.2
5,19.0,360.8,5.6,31.7
26,28.0,786.2,19.9,396.0
24,27.0,728.5,9.3,86.1
22,37.9,1436.4,10.0,100.0
6,22.0,485.3,9.3,86.5
14,18.8,354.0,15.5,240.8
11,26.3,689.9,9.0,81.0
10,17.1,291.2,11.0,120.1
35,40.0,1600.0,27.6,760.4
9,23.8,564.8,15.2,230.7
12,26.0,675.5,3.2,10.4
9,22.2,492.2,9.0,80.8
2,20.9,436.2,9.5,89.5
10,19.6,383.6,9.5,89.5
10,16.5,273.6,11.3,127.9
13,17.3,300.3,8.3,69.4
27,21.5,460.7,9.7,94.5
24,32.0,1024.0,9.7,94.5
21,21.5,460.7,9.7,94.5
